time_msc;open;sma;current_delta;forecast_delta
2024-05-27 12:39:00;124850;124855,3571;-0,714285714;-0,714285714
2024-05-27 12:39:05;124855;124854,6429;-0,714285714;-1,071428571
2024-05-27 12:39:10;124850;124853,5714;-1,071428571;-0,714285714
2024-05-27 12:39:15;124850;124852,8571;-0,714285714;-1,428571429
2024-05-27 12:39:20;124845;124851,4286;-1,428571429;-1,071428571
2024-05-27 12:39:25;124850;124850,3571;-1,071428571;-1,428571429
2024-05-27 12:39:30;124840;124848,9286;-1,428571429;0
2024-05-27 12:39:35;124845;124848,9286;0;-0,357142857
2024-05-27 12:39:40;124845;124848,5714;-0,357142857;0,714285714
2024-05-27 12:39:45;124850;124849,2857;0,714285714;-1,071428571
2024-05-27 12:39:50;124835;124848,2143;-1,071428571;-1,071428571
2024-05-27 12:39:55;124835;124847,1429;-1,071428571;-1,071428571
2024-05-27 12:40:00;124840;124846,0714;-1,071428571;-0,357142857
2024-05-27 12:40:05;124850;124845,7143;-0,357142857;0,357142857
2024-05-27 12:40:10;124855;124846,0714;0,357142857;-0,357142857
2024-05-27 12:40:15;124850;124845,7143;-0,357142857;1,071428571
2024-05-27 12:40:20;124865;124846,7857;1,071428571;0,714285714
2024-05-27 12:40:25;124860;124847,5;0,714285714;1,428571429
2024-05-27 12:40:30;124865;124848,9286;1,428571429;0,714285714
2024-05-27 12:40:35;124860;124849,6429;0,714285714;1,785714286
2024-05-27 12:40:40;124865;124851,4286;1,785714286;1,428571429
2024-05-27 12:40:45;124865;124852,8571;1,428571429;2,142857143
2024-05-27 12:40:50;124875;124855;2,142857143;2,142857143
2024-05-27 12:40:55;124880;124857,1429;2,142857143;3,214285714
2024-05-27 12:41:00;124880;124860,3571;3,214285714;5,357142857
2024-05-27 12:41:05;124910;124865,7143;5,357142857;5
2024-05-27 12:41:10;124910;124870,7143;5;3,571428571
2024-05-27 12:41:15;124900;124874,2857;3,571428571;3,571428571
2024-05-27 12:41:20;124905;124877,8571;3,571428571;4,285714286
2024-05-27 12:41:25;124910;124882,1429;4,285714286;3,571428571
2024-05-27 12:41:30;124915;124885,7143;3,571428571;4,642857143
2024-05-27 12:41:35;124925;124890,3571;4,642857143;4,285714286
2024-05-27 12:41:40;124925;124894,6429;4,285714286;4,642857143
2024-05-27 12:41:45;124925;124899,2857;4,642857143;3,928571429
2024-05-27 12:41:50;124920;124903,2143;3,928571429;3,928571429
2024-05-27 12:41:55;124920;124907,1429;3,928571429;3,571428571
2024-05-27 12:42:00;124925;124910,7143;3,571428571;2,5
2024-05-27 12:42:05;124915;124913,2143;2,5;2,857142857
2024-05-27 12:42:10;124920;124916,0714;2,857142857;1,785714286
2024-05-27 12:42:15;124935;124917,8571;1,785714286;2,142857143
2024-05-27 12:42:20;124940;124920;2,142857143;2,5
2024-05-27 12:42:25;124935;124922,5;2,5;1,785714286
2024-05-27 12:42:30;124930;124924,2857;1,785714286;1,428571429
2024-05-27 12:42:35;124930;124925,7143;1,428571429;1,785714286
2024-05-27 12:42:40;124940;124927,5;1,785714286;1,071428571
2024-05-27 12:42:45;124940;124928,5714;1,071428571;1,071428571
2024-05-27 12:42:50;124940;124929,6429;1,071428571;1,428571429
2024-05-27 12:42:55;124945;124931,0714;1,428571429;1,071428571
2024-05-27 12:43:00;124935;124932,1429;1,071428571;-0,357142857
2024-05-27 12:43:05;124915;124931,7857;-0,357142857;-0,357142857
2024-05-27 12:43:10;124920;124931,4286;-0,357142857;-0,357142857
2024-05-27 12:43:15;124910;124931,0714;-0,357142857;-0,714285714
2024-05-27 12:43:20;124910;124930,3571;-0,714285714;-1,428571429
2024-05-27 12:43:25;124915;124928,9286;-1,428571429;-1,785714286
2024-05-27 12:43:30;124915;124927,1429;-1,785714286;-1,785714286
2024-05-27 12:43:35;124910;124925,3571;-1,785714286;-0,714285714
2024-05-27 12:43:40;124920;124924,6429;-0,714285714;-1,428571429
2024-05-27 12:43:45;124910;124923,2143;-1,428571429;-2,5
2024-05-27 12:43:50;124905;124920,7143;-2,5;-2,5
2024-05-27 12:43:55;124905;124918,2143;-2,5;-2,142857143
2024-05-27 12:44:00;124910;124916,0714;-2,142857143;-3,214285714
2024-05-27 12:44:05;124900;124912,8571;-3,214285714;-2,857142857
2024-05-27 12:44:10;124895;124910;-2,857142857;-1,071428571
2024-05-27 12:44:15;124900;124908,9286;-1,071428571;-1,785714286
